id,example_order,example_nl
core_000001,1,"De meisjes komen op de man en de vrouw afhollen."
core_000002,1,"Mijn vader en moeder gaan uit eten in het restaurant."
core_000003,1,"Het was koud in de slaapkamer."
core_000004,1,"Zijn ogen zijn sluw als die van een roofdier."
core_000005,1,"Ze ziet hem op het terras zitten."
core_000006,1,"Honden zijn aanhankelijke en trouwe dieren."
core_000007,1,"1) Het kind was ziek. 2) Het is niet anders."
core_000008,1,"Een man en een vrouw kunnen samen een kind adopteren."
core_000009,1,"a) Ik vind het leuk om voor hem te koken."
core_000009,2,"b) We staan voor de deur van het hotel."
core_000010,1,"a) Die vraag bracht iets teweeg wat me niet meer met rust laat."
core_000010,2,"b) Hij ging op de lakens liggen die haar geur vasthielden."
core_000011,1,"De vrouw reed met haar vriend mee naar de winkel."
core_000012,1,"Ze begon te huilen van blijdschap."
core_000013,1,"Je hebt een bleke huid."
core_000014,1,"Met de zaklamp was ze niet meer bang."
core_000015,1,"Hij geeft de bloemen aan Lena."
core_000016,1,"Toch hadden ze er vertrouwen in dat alles ook vandaag zou lukken."
core_000017,1,"De volgende ochtend werd er een lange wandeling gemaakt."
core_000018,1,"Ik krijg dorst als ik die fles zie staan."
core_000019,1,"We keken beiden uit over de rivier en zeiden niet veel."
core_000020,1,"Misschien kunnen we samen naar de markt gaan."
core_000021,1,"Hij vertelde dat hij zich beter voelde."
core_000022,1,"Ik wandelde om het plantsoen."
core_000023,1,"Deze pasfoto werd door de politie verspreid."
core_000024,1,"Als de beschuldiging klopt, werpt dat een ander licht op de zaak."
core_000025,1,"Ze is nog jong."
core_000026,1,"Het team speelde goed, maar slaagde er niet in te winnen."
core_000027,1,"Op het pleintje bij de kerk waren kinderen aan het spelen."
core_000028,1,"a) Ik was niet verliefd op haar, maar zij we op mij."
core_000028,2,"Men verwachtte dat ze binnenkort het ziekenhuis kon verlaten."
core_000028,3,"b) Zij vormen 85 procent van de bevolking."
core_000028,4,"Toen Schliemann in 1875 de skeletten aanraakte, verpulverden ze meteen tot stof."
core_000029,1,"Hij volgt haar naar de keuken."
core_000030,1,"Ik kom uit Amsterdam."
core_000031,1,"De jongens gingen op de fiets naar het strand."
core_000032,1,"Misschien komt hij met de wagen."
core_000033,1,"De filmpjes zullen te zien zijn via het internet."
core_000034,1,"Er reden allang geen trams of auto’s meer."
core_000035,1,"a) Zij klom over het hek."
core_000035,2,"b) Alle informatie over de camping vind je op de website."
core_000036,1,"Je moet beneden aan de trap je schoenen aan-en uitdoen."
core_000037,1,"Ik liep door het dorp."
core_000038,1,"Ze is al bijna aan het eind van het pad."
core_000039,1,"Er zat geen knop aan de deur."
core_000040,1,"Zwemmen, fietsen en dan nog eens lopen."
core_000041,1,"Wij sporen onze leden aan om goede burgers te zijn."
core_000042,1,"Ik vind het wel fijn te horen dat er meer mensen zijn die zich zorgen maken."
core_000043,1,"a) Hij maakte een snelle beweging."
core_000043,2,"b) Hij maakte haar kapotte fiets."
core_000044,1,"Het festival gaat begin juli van start en loopt tot eind September."
core_000045,1,"Hij vraagt zich af of hij wel genoeg contant geld bij zich heeft."
core_000046,1,"We hebben gedaan wat we moesten doen."
core_000047,1,"Hij schreeuwde zo luid dat het leek of de deur open stond."
core_000048,1,"Ik ga nu eerst met vakantie."
core_000049,1,"Hij nam zijn zoon mee."
core_000049,2,"Hij ging op zoek naar z’n dochter."
core_000050,1,"Elk jaar bellen één miljoen mensen de servicelijn."
core_000051,1,"Ze bereikten de top van de andere heuvel."
core_000052,1,"Zou ik dat ook hebben gedaan?"
core_000053,1,"Hij was naar dit kantoor gegaan."
core_000054,1,"Wie zou mij willen tegenhouden?"
core_000055,1,"Ze kon mijn trap niet op en liet zich dragen."
core_000055,2,"Zij lieten zich graag trakteren."
core_000056,1,"De drie kinderen staan naast haar."
core_000057,1,"In de verte zag zij het huis."
core_000058,1,"U mag ‘stop’ zeggen wanneer u wilt."
core_000059,1,"Hij hoopte van de frisse lucht een helder hoofd te krijgen."
core_000060,1,"Ik deed de lichten uit en wij verlieten de bijkeuken."
core_000060,2,"Ik stel voor dat we het werk eerst afmaken."
core_000061,1,"a) In de deur stond een grote vrouw."
core_000061,2,"b) U doet me een groot plezier als u iets met mij wilt gaan drinken."
core_000062,1,"Meteen na het eten ging hij weg."
core_000063,1,"a) Ze kochten hun vlees bij de slager."
core_000063,2,"b) Hij geeft hun een snoepje."
core_000064,1,"Je vader zei dat ik me met mijn eigen zaken moest bemoeien."
core_000065,1,"Uiteraard houden wij deze zaak nauwlettend in het oog."
core_000066,1,"Ik rijd maar door tot op de markt, parkeer daar en stap uit."
core_000067,1,"Heb jij nog zin om boodschappen te doen?"
core_000067,2,"Wat bedoel je?"
core_000068,1,"Elisabeth vindt het nummer van de politie."
core_000069,1,"Ik heb door een timmerman een houten stoel laten maken."
core_000070,1,"Door alle publiciteit werd het een vervelende zaak."
core_000071,1,"Al die tijd bleef hij tegen mij zwijgen."
core_000072,1,"De twee vrouwen staan in elkaars armen te huilen."
core_000073,1,"Een van de jongens liep naar de deur."
core_000073,2,"Slechts één woning liep schade op."
core_000074,1,"Sommige mensen fluiten de hele dag."
core_000075,1,"Oma geeft haar een glas water."
core_000076,1,"Dergelijk gedrag kon niet onbestraft blijven."
core_000077,1,"Ze herkende het huis waar ze geboren was."
core_000078,1,"Ze schold hem uit en toch troostte hij haar."
core_000079,1,"a) Ze kwam naar ons toe."
core_000079,2,"b) Een van onze vrienden logeert ergens anders."
core_000080,1,"Hans kroop onder de dekens."
core_000081,1,"De rechter wilde weten wat er gebeurd was."
core_000082,1,"Ik zit op de sofa en kijk naar de bergen."
core_000083,1,"Daarmee was ze een seconde sneller dan haar oude toptijd."
core_000084,1,"Zijn gezicht durfde ze maar nauwelijks aan te raken."
core_000085,1,"Dieren kunnen een innige band met mensen hebben."
core_000086,1,"Hij kreeg een boete omdat zijn brommer niet in orde was."
core_000087,1,"Hij heeft besloten om alleen te gaan."
core_000088,1,"Ze nam de jas van de kapstok en hield hem voor me op."
core_000089,1,"In zijn linkerhand hield hij een plastic tasje."
core_000090,1,"Hij wordt de nieuwe burgemeester."
core_000091,1,"Zij mag doen wat ze wil."
core_000092,1,"Hij ging zitten en hij stond weer op."
core_000093,1,"Het doen van strategisch onderzoek kost tijd."
core_000094,1,"Het lange meisje kon bij de bovenste plank."
core_000094,2,"(adv) Het klonk als een beslissing waarover lang was nagedacht."
core_000095,1,"Hij was me te vlug af."
core_000095,2,"af en toe: Af en toe zit ik te klappertanden van de kou."
core_000096,1,"We lagen diezelfde nacht nog in bed."
core_000097,1,"Natuurlijk heeft onze advocaat deze deal bekeken, maar alles is legaal, dus we kregen er een concurrent bij."
core_000098,1,"a) Hij wilde er niet van horen en verbood het haar."
core_000098,2,"b) De gouden ring was een erfstuk van haar oma."
core_000099,1,"Na drie jaar kon ze zich deze tocht nog van dag tot dag herinneren."
core_000100,1,"Hij dringt tussen zijn kinderen door naar voren en gaat de trap af."
core_000101,1,"Waarom heb je mij niet opgebeld?"
core_000101,2,"Ik voel me fit."
core_000102,1,"Enkele maanden geleden wist ik niet eens van haar bestaan af."
core_000103,1,"Enkele seconden later voigt een explosie niet ver van mij vandaan."
core_000104,1,"De volgende dag zat mijn grootvader weer in zijn stoel."
core_000105,1,"Ik had zelf geen oordeel."
core_000105,2,"Zij hebben zelf bedacht dat het zo moest kunnen."
core_000106,1,"Hij zat achter zijn bureau en scheen mijn aanwezigheid niet op te merken."
core_000106,2,"Ik deed m’n werk."
core_000107,1,"Het scenario liep aanvankelijk zoals gewenst."
core_000108,1,"Ze liep weg en liet hem staan."
core_000108,2,"Heb je’m gisteren nog zien lopen?"
core_000109,1,"Ik heb er ervaring mee."
core_000110,1,"Hij riep iets in mij op dat ik vergeten was."
core_000111,1,"Ze vraagt de man of hij weet hoe het vuur is ontstaan."
core_000112,1,"Ik denk dat hij gedroomd heeft."
core_000113,1,"Er werden in enkele gevallen etenswaren zonder vergunning verkocht."
core_000114,1,"De groente is niet groen, maar wit, want het is bloemkool."
core_000115,1,"De weg gaat hier naar links."
core_000116,1,"Het water was er altijd in beweging door de botsing met de rotsen."
core_000117,1,"Met maximum 8 graden is het te koud voor de tijd van het jaar."
core_000118,1,"Het duurde nog een halfuur voor alle passagiers op hun plaats zaten."
core_000119,1,"Na enkele seconden hoorde ik de auto ook."
core_000120,1,"Uiteraard weet hij te ontsnappen en de jacht begint opnieuw."
core_000121,1,"Tegenover hem zat een forse man met een reusachtige zwarte baard."
core_000122,1,"Die mensen werden binnen een paar weken schatrijk."
core_000123,1,"Laura deed spontaan een stap naar hem toe."
core_000124,1,"Voor een echte dief had hij nogal wat fouten gemaakt."
core_000125,1,"Ik zag niet in waarom ik dit keer anders zou moeten handelen."
core_000126,1,"Weet je wie dat was die je hoorde spelen?"
core_000127,1,"Misschien ken je iemand die bij het bedrijf werkt of heeft gewerkt."
core_000128,1,"Het examen aardrijkskunde was volgens de leerlingen te moeilijk."
core_000129,1,"Even zag hij in de boodschap de projectie van zijn eigen gevoelens."
core_000130,1,"Ze toonden ons angst en verslagenheid en vooral uitzinnige woede."
core_000131,1,"Zelfs papa zong uit voile borst mee."
core_000132,1,"Hij stelt dat het belangrijk is om samen te werken."
core_000132,2,"een vraag stellen: Hij hield niet op met vragen stellen."
core_000133,1,"We worden naar een tent gebracht."
core_000134,1,"Ze had een zekere charme."
core_000135,1,"In elk café hangen een heleboel affiches."
core_000136,1,"Toen ik op het station aankwam was de trein net weg."
core_000137,1,"Hij liep naar de bar."
core_000138,1,"Het kleine mannetje kon er net niet bij."
core_000139,1,"Deze monniken zien nooit een vrouw."
core_000140,1,"Zij vroeg aan de man wie hij was."
core_000141,1,"De jongen viel van een tien meter hoge steiger op een bouwwerf."
core_000142,1,"Bij ons in het dorp was alles donker en stil."
core_000143,1,"Afgelopen week was hij even terug op zijn vroegere werkplek."
core_000144,1,"Ik hoorde zijn stem boven alles uit."
core_000145,1,"De kinderen speelden in het zwembad."
core_000146,1,"Zo kon hij soms uren doorgaan."
core_000147,1,"Een oude man schuifelt door de donkere straat."
core_000148,1,"Zij wonen in een hoge flat."
core_000149,1,"Hij ging even een biertje drinken in het café."
core_000150,1,"Tijdens het bezoekuur hoorde ik haar vrolijk praten met haar vader en moeder."
core_000151,1,"Je ontdekt steeds meer als je eenmaal onderweg bent."
core_000152,1,"Ineke zette thee en bakte eieren voor ons toen we thuiskwamen."
core_000153,1,"Het winkelpand stond na het faillissement van de vorige bezitter al geruime tijd leeg."
core_000154,1,"Binnen Gent is één grote hogeschool gecreëerd."
core_000155,1,"In het gewone leven gaat dat anders."
core_000155,2,"(adv) Een parkje waar ze allebei gewoon vanuit hun huis naartoe kunnen fietsen."
core_000156,1,"Ze had niets bij zich dan haar handtas."
core_000157,1,"In een snelle spurt reed hij naar voren."
core_000158,1,"Verbaasd kijkt ze om zich heen."
core_000159,1,"Hij vond gedurende enkele maanden een baantje in een fabriek."
core_000160,1,"Het jonge meisje speelde moeiteloos mee."
core_000161,1,"Ze weten niet waar ze de formulieren moeten halen."
core_000162,1,"Het lijkt me erg gezellig om elkaar te zien."
core_000163,1,"Zij zette de bloemen in een vaas."
core_000164,1,"Dit blijkt uit een eerste rapportage van het onderzoeksbureau."
core_000165,1,"We zaten met de leden van het comité bij elkaar en kwamen toen op dit idee."
core_000166,1,"Ik heb op dit moment weinig tijd."
core_000167,1,"De directie ging voor dit jaar eerst uit van een groei van 3 procent."
core_000168,1,"We losten elkaar af bij haar bed."
core_000169,1,"De politie onderzoekt de mogelijke omkoping van scheidsrechters."
core_000170,1,"Samen deden ze de afwas."
core_000171,1,"De kinderen maakten een maquette van hun school."
core_000172,1,"Zij vindt haar werk erg leuk."
core_000173,1,"De oostelijke helft van het land blijft gevoelig voor buien."
core_000174,1,"Vroeger werden vrouwen en mannen gescheiden in de kerk."
core_000175,1,"Ze balde een enkele keer haar handen tot kleine vuisten."
core_000176,1,"Er zijn veel kleine conflicten die het dagelijks leven verstoren."
core_000177,1,"Ik ben niet zo’n strenge leraar."

